Index;Fuel type;Body type;Engine;Gearbox;Doors;Seats;Emission;Service history
371;Petrol;Hatchback;1.4L;Manual;3;5;Euro 5;Null
372;Diesel;Saloon;3.0L;Automatic;4;5;Euro 5;Null
373;Petrol;Hatchback;1.0L;Manual;3;5;Euro 5;Full
374;Petrol;SUV;1.6L;Manual;3;5;Euro 5;Full
375;Diesel;Hatchback;1.2L;Manual;5;5;Euro 5;Null
376;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
378;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
379;Petrol;Hatchback;1.4L;Manual;3;4;Euro 4;Null
380;Petrol;Coupe;1.6L;Automatic;2;4;Euro 5;Full
381;Petrol;Saloon;1.8L;Automatic;4;5;Euro 5;Null
382;Petrol;SUV;1.2L;Manual;5;5;Euro 6;Null
383;Petrol;Hatchback;1.4L;Manual;3;5;Euro 4;Null
384;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
385;Petrol;Hatchback;1.0L;Manual;5;4;Euro 4;Null
386;Petrol;Estate;1.6L;Manual;5;5;Euro 4;Null
387;Petrol;MPV;1.6L;Manual;5;5;Euro 5;Null
388;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 4;Null
389;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
390;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
392;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
393;Petrol;Coupe;2.0L;Manual;2;4;Euro 4;Null
394;Diesel;Estate;1.6L;Manual;5;5;Euro 4;Null
395;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Null
396;Petrol;Hatchback;1.1L;Manual;3;5;Euro 5;Null
397;Diesel;Saloon;2.0L;Automatic;4;5;Euro 5;Null
398;Petrol;Saloon;2.0L;Manual;4;5;Euro 4;Null
399;Petrol;Coupe;2.0L;Automatic;2;4;Euro 5;Null
400;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
401;Petrol;SUV;1.6L;Manual;5;5;Euro 5;Null
402;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
403;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
405;Petrol Plug-in Hybrid;Saloon;2.0L;Automatic;4;5;Euro 6;Null
406;Petrol;Hatchback;1.4L;Manual;3;5;Euro 5;Null
407;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Full
408;Petrol;Hatchback;1.2L;Manual;3;4;Euro 6;Null
409;Petrol;Saloon;2.5L;Automatic;4;5;Euro 4;Null
410;Petrol;Saloon;2.0L;Automatic;4;5;Euro 4;Null
411;Petrol;Hatchback;1.4L;Manual;3;5;Euro 6;Null
412;Diesel;Coupe;2.1L;Automatic;2;4;Euro 5;Null
413;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
414;Diesel;Hatchback;1.5L;Automatic;5;5;Euro 6;Full
415;Petrol;Hatchback;1.6L;Manual;3;5;Euro 4;Null
416;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
417;Petrol Plug-in Hybrid;Saloon;2.0L;Automatic;4;5;Euro 6;Null
419;Diesel;Hatchback;1.4L;Manual;5;5;Euro 6;Null
420;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
421;Petrol;Hatchback;1.3L;Manual;5;4;Euro 4;Null
422;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 5;Null
423;Petrol;Saloon;2.0L;Manual;4;5;Euro 4;Null
424;Petrol;Estate;1.4L;Manual;5;2;Euro 4;Null
